"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Slothweek is a thing and I'm intrigued out of my shit.",FALSE,0,NA,2014-06-14 16:51:26,FALSE,NA,"477855845724594179",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShelbyWesley96",0,FALSE,FALSE,NA,NA
"Someone had better be working on the filming of ""Slothnado"" !!! #SlothWeek",FALSE,0,NA,2014-06-14 12:54:37,FALSE,NA,"477796249811161088",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","jesseferguson",0,FALSE,FALSE,NA,NA
"RT @Revision3: It's Friday and this sloth is ready to PARTY. Or, you know, sleep: http://t.co/P6wuwQQ4WX #SlothWeek",FALSE,0,NA,2014-06-14 06:30:28,FALSE,NA,"477699573868417024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","m_auladi",2,TRUE,FALSE,NA,NA
"Shut the front door!  #SlothWeek is coming. http://t.co/Sls10n7ZXg  http://t.co/5sG9VZN7Cg”",FALSE,1,NA,2014-06-14 02:40:59,FALSE,NA,"477641822202638336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rhandilovesbeer",0,FALSE,FALSE,NA,NA
"#SlothWeek starts in a week, so we're celebrating early with a Cuipo giveaway over on our Instagram account: @MyCuipo",FALSE,0,NA,2014-06-13 23:14:26,FALSE,NA,"477589842310606848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MyCuipo",0,FALSE,FALSE,NA,NA
"RT @Revision3: It's Friday and this sloth is ready to PARTY. Or, you know, sleep: http://t.co/P6wuwQQ4WX #SlothWeek",FALSE,0,NA,2014-06-13 22:43:23,FALSE,NA,"477582030193311744",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Electro_Soma",2,TRUE,FALSE,NA,NA
"#slothweek is coming!!",FALSE,0,NA,2014-06-13 22:17:00,FALSE,NA,"477575389619838977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashley_topo",0,FALSE,FALSE,NA,NA
"RT @Animalists: The Sloth In Our Stars opening June 20. See more sloths now at http://t.co/c7eMp78g08! #SlothWeek #FaultInOurStars http://t…",FALSE,0,NA,2014-06-13 22:15:45,FALSE,NA,"477575074698895360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashley_topo",20,TRUE,FALSE,NA,NA
"It's Friday and this sloth is ready to PARTY. Or, you know, sleep: http://t.co/P6wuwQQ4WX #SlothWeek",FALSE,4,NA,2014-06-13 22:05:11,FALSE,NA,"477572417292759040",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Revision3",2,FALSE,FALSE,NA,NA
"RT @ponyonabalcony: There may have been some dramatic sloth-based squeeing.  RT @rrposey: Telling @ponyonabalcony about SlothWeek is its ow…",FALSE,0,NA,2014-06-13 21:55:14,FALSE,NA,"477569913276891136",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LisaWeihman",1,TRUE,FALSE,NA,NA
"There may have been some dramatic sloth-based squeeing.  RT @rrposey: Telling @ponyonabalcony about SlothWeek is its own reward.",FALSE,3,"rrposey",2014-06-13 21:45:42,FALSE,"477561289557151744","477567511076945922","488822067","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ponyonabalcony",1,FALSE,FALSE,NA,NA
"RT @Animalists: If you can't wait until #SlothWeek on June 20th maybe this clip of a newborn baby sloth yawning will hold you over http://t…",FALSE,0,NA,2014-06-13 21:26:41,FALSE,NA,"477562726105903104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mas_0818",2,TRUE,FALSE,NA,NA
"Telling @ponyonabalcony about SlothWeek is its own reward.",FALSE,2,NA,2014-06-13 21:20:58,FALSE,NA,"477561289557151744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rrposey",0,FALSE,FALSE,NA,NA
"If you can't wait until #SlothWeek on June 20th maybe this clip of a newborn baby sloth yawning will hold you over http://t.co/nTdvS2YUeZ",FALSE,2,NA,2014-06-13 21:17:30,FALSE,NA,"477560417959419904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Animalists",2,FALSE,FALSE,NA,NA
"RT @mashable: GUYS, #SlothWeek is coming. http://t.co/HzHeJ8Oizt http://t.co/kB5illc4Jg",FALSE,0,NA,2014-06-13 21:02:43,FALSE,NA,"477556695715946497",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","howiseveryone",464,TRUE,FALSE,NA,NA
"Sloth Week starts on June 20th! Sloth yourself with a #SlothWeek Twibbon now. http://t.co/6crIIUdCtU",FALSE,0,NA,2014-06-13 20:21:36,FALSE,NA,"477546349101973504",NA,"<a href=""http://twibbon.com"" rel=""nofollow"">Twibbon</a>","quantumpolygon",0,FALSE,FALSE,NA,NA
"RT @holzywolzy88: @InghamAndrew yep! It's defiantly a #sloth kind of day! #SlothLyfe #slothweek haha! Just saw those hash tags! #sloth",FALSE,0,NA,2014-06-13 15:38:20,FALSE,NA,"477475061704949760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","InghamAndrew",1,TRUE,FALSE,NA,NA
"@InghamAndrew yep! It's defiantly a #sloth kind of day! #SlothLyfe #slothweek haha! Just saw those hash tags! #sloth",FALSE,2,"InghamAndrew",2014-06-13 15:37:50,FALSE,"477474260404150272","477474934973677569","366611507","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","holzywolzy88",1,FALSE,FALSE,NA,NA
"Animalist &gt; Sloth Week http://t.co/iV3YkZzdLT via @revision3",FALSE,0,NA,2014-06-13 15:17:34,FALSE,NA,"477469833806626818",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Music_Rawrer",0,FALSE,FALSE,NA,NA
